anno,mese,giorno,capannone,razza,n_galline,uova_prodotte,giorni_in_capannone,n_morte,n_vendute
2022,8,21,3,hiline,4459,,414,0,0
2022,8,22,3,hiline,4458,,415,1,0
2022,8,23,3,hiline,4458,,416,0,0
2022,8,24,3,hiline,4458,,417,0,0
2022,8,25,3,hiline,4457,,418,1,0
2022,8,26,3,hiline,4457,,419,0,0
2022,8,27,3,hiline,4456,,420,1,0
2022,8,28,3,hiline,4428,,421,28,0
2022,8,29,3,hiline,4428,990,422,0,0
2022,8,30,3,hiline,4427,951,423,1,0
2022,8,31,3,hiline,4427,1800,424,0,0
2022,9,1,3,hiline,4426,1783,424,2,0
2022,9,2,3,hiline,4426,1820,425,0,0
2022,9,3,3,hiline,4426,2240,426,0,0
2022,9,4,3,hiline,4424,2512,427,2,0
2022,9,5,3,hiline,4424,2200,428,0,0
2022,9,6,3,hiline,4423,2370,429,1,0
2022,9,7,3,hiline,4423,2330,430,0,0
2022,9,8,3,hiline,4423,2300,431,0,0
2022,9,9,3,hiline,4421,2700,432,2,0
2022,9,10,3,hiline,4421,2100,433,0,0
2022,9,11,3,hiline,4420,2085,434,1,0
2022,9,12,3,hiline,4420,3534,435,0,0
2022,9,13,3,hiline,4420,2440,436,0,0
2022,9,14,3,hiline,4418,2913,437,2,0
2022,9,15,3,hiline,4417,3190,438,1,0
2022,9,16,3,hiline,4417,3130,439,0,0
2022,9,17,3,hiline,4417,3177,440,0,0
2022,9,18,3,hiline,4416,2285,441,1,0
2022,9,19,3,hiline,4411,3290,442,0,5
2022,9,20,3,hiline,4409.3040,443,2,0
2022,9,21,3,hiline,4409,3010,444,0,0
2022,9,22,3,hiline,4407,3110,445,2,0
2022,9,23,3,hiline,4407,3560,446,0,0
2022,9,24,3,hiline,4406,3340,447,1,0
2022,9,25,3,hiline,4406,3690,448,0,0
2022,9,26,3,hiline,4406,3610,449,0,0
2022,9,27,3,hiline,4404,3340,450,2,0
2022,9,28,3,hiline,4404,3630,451,0,0
2022,9,29,3,hiline,4404,3276,452,0,0
2022,9,30,3,hiline,4402,3230,453,2,0
2022,10,1,3,hiline,4402,4010,455,0,0
2022,10,2,3,hiline,4400,3620,456,2,0
2022,10,3,3,hiline,4400,3632,457,0,0
2022,10,4,3,hiline,4400,3488,458,0,0
2022,10,5,3,hiline,4396,3449,459,0,4
2022,10,6,3,hiline,4394,3338,460,2,0
2022,10,7,3,hiline,4394,3247,461,0,0
2022,10,8,3,hiline,4394,3667,462,0,0
2022,10,9,3,hiline,4392,3473,463,2,0
2022,10,10,3,hiline,4392,3319,464,0,0
2022,10,11,3,hiline,4392,3504,465,0,0
2022,10,12,3,hiline,4387,3561,466,0,5
2022,10,13,3,hiline,4385,3216,467,2,0
2022,10,14,3,hiline,4385,3310,468,0,0
2022,10,15,3,hiline,4385,3510,469,0,0
2022,10,16,3,hiline,4384,3360,470,1,0
2022,10,17,3,hiline,4384,3180,471,0,0
2022,10,18,3,hiline,4384,3680,472,0,0
2022,10,19,3,hiline,4384,3530,473,0,0
2022,10,20,3,hiline,4382,3270,474,2,0
